,序號,答案
0,20240117090001,112.24
1,20240117091001,167.38
2,20240117092001,104.5
3,20240117093001,80.44
4,20240117094001,119.07
5,20240117095001,80.67
6,20240117100001,85.59
7,20240117101001,120.63
8,20240117102001,151.87
9,20240117103001,169.15
10,20240117104001,145.56
11,20240117105001,109.38
12,20240117110001,129.34
13,20240117111001,79.98
14,20240117112001,49.56
15,20240117113001,48.66
16,20240117114001,67.77
17,20240117115001,70.32
18,20240117120001,26.42
19,20240117121001,20.11
20,20240117122001,31.92
21,20240117123001,33.34
22,20240117124001,41.23
23,20240117125001,49.76
24,20240117130001,158.55
25,20240117131001,167.5
26,20240117132001,177.04
27,20240117133001,339.52
28,20240117134001,582.27
29,20240117135001,582.0
30,20240117140001,218.9
31,20240117141001,325.2
32,20240117142001,170.52
33,20240117143001,72.77
34,20240117144001,199.49
35,20240117145001,162.74
36,20240117150001,209.36
37,20240117151001,133.91
38,20240117152001,62.33
39,20240117153001,31.64
40,20240117154001,19.54
41,20240117155001,36.16
42,20240117160001,41.9
43,20240117161001,15.94
44,20240117162001,11.2
45,20240117163001,7.93
46,20240117164001,3.34
47,20240117165001,4.27
48,20240119090001,188.19
49,20240119091001,234.45
50,20240119092001,335.88
51,20240119093001,238.75
52,20240119094001,305.8
53,20240119095001,354.86
54,20240119100001,414.39
55,20240119101001,449.77
56,20240119102001,491.34
57,20240119103001,1215.46
58,20240119104001,1093.63
59,20240119105001,817.11
60,20240119110001,1378.41
61,20240119111001,1742.78
62,20240119112001,1546.21
63,20240119113001,1658.36
64,20240119114001,1379.02
65,20240119115001,1460.37
66,20240119120001,956.35
67,20240119121001,636.1
68,20240119122001,639.68
69,20240119123001,468.96
70,20240119124001,386.73
71,20240119125001,788.42
72,20240119130001,1307.11
73,20240119131001,825.91
74,20240119132001,1078.6
75,20240119133001,654.93
76,20240119134001,490.69
77,20240119135001,420.97
78,20240119140001,613.81
79,20240119141001,360.85
80,20240119142001,553.17
81,20240119143001,177.04
82,20240119144001,467.17
83,20240119145001,157.93
84,20240119150001,186.53
85,20240119151001,114.61
86,20240119152001,98.39
87,20240119153001,64.5
88,20240119154001,65.7
89,20240119155001,59.1
90,20240119160001,67.08
91,20240119161001,43.51
92,20240119162001,31.94
93,20240119163001,17.75
94,20240119164001,12.67
95,20240119165001,5.62
96,20240224090001,70.14
97,20240224091001,79.4
98,20240224092001,69.79
99,20240224093001,50.19
100,20240224094001,28.18
101,20240224095001,31.21
102,20240224100001,37.52
103,20240224101001,50.75
104,20240224102001,44.87
105,20240224103001,33.52
106,20240224104001,45.62
107,20240224105001,50.51
108,20240224110001,40.87
109,20240224111001,46.77
110,20240224112001,51.32
111,20240224113001,49.18
112,20240224114001,46.93
113,20240224115001,40.55
114,20240224120001,44.3
115,20240224121001,42.37
116,20240224122001,27.94
117,20240224123001,29.89
118,20240224124001,29.88
119,20240224125001,38.27
120,20240224130001,26.27
121,20240224131001,21.86
122,20240224132001,23.5
123,20240224133001,33.68
124,20240224134001,41.84
125,20240224135001,33.64
126,20240224140001,23.39
127,20240224141001,23.35
128,20240224142001,14.66
129,20240224143001,9.63
130,20240224144001,9.86
131,20240224145001,10.12
132,20240224150001,11.88
133,20240224151001,10.99
134,20240224152001,7.85
135,20240224153001,3.41
136,20240224154001,4.38
137,20240224155001,3.67
138,20240224160001,2.78
139,20240224161001,1.47
140,20240224162001,0.74
141,20240224163001,1.15
142,20240224164001,0.79
143,20240224165001,0.92
144,20240226090001,49.85
145,20240226091001,91.21
146,20240226092001,90.13
147,20240226093001,75.34
148,20240226094001,78.03
149,20240226095001,117.83
150,20240226100001,126.72
151,20240226101001,170.56
152,20240226102001,176.22
153,20240226103001,183.36
154,20240226104001,196.18
155,20240226105001,234.98
156,20240226110001,115.56
157,20240226111001,126.39
158,20240226112001,126.36
159,20240226113001,107.09
160,20240226114001,60.76
161,20240226115001,53.75
162,20240226120001,38.24
163,20240226121001,29.84
164,20240226122001,27.06
165,20240226123001,35.59
166,20240226124001,35.02
167,20240226125001,32.39
168,20240226130001,69.39
169,20240226131001,69.49
170,20240226132001,71.59
171,20240226133001,64.54
172,20240226134001,54.18
173,20240226135001,41.8
174,20240226140001,27.09
175,20240226141001,20.41
176,20240226142001,21.58
177,20240226143001,20.5
178,20240226144001,16.82
179,20240226145001,14.63
180,20240226150001,19.57
181,20240226151001,20.4
182,20240226152001,17.19
183,20240226153001,18.21
184,20240226154001,15.49
185,20240226155001,13.39
186,20240226160001,5.05
187,20240226161001,4.0
188,20240226162001,2.9
189,20240226163001,2.09
190,20240226164001,1.93
191,20240226165001,1.3
192,20240327090001,140.71
193,20240327091001,153.22
194,20240327092001,143.09
195,20240327093001,156.84
196,20240327094001,319.75
197,20240327095001,388.25
198,20240327100001,519.74
199,20240327101001,755.34
200,20240327102001,851.15
201,20240327103001,596.24
202,20240327104001,816.77
203,20240327105001,851.97
204,20240327110001,733.57
205,20240327111001,743.72
206,20240327112001,559.35
207,20240327113001,432.54
208,20240327114001,304.39
209,20240327115001,290.17
210,20240327120001,226.54
211,20240327121001,226.33
212,20240327122001,181.9
213,20240327123001,143.76
214,20240327124001,181.13
215,20240327125001,145.11
216,20240327130001,167.67
217,20240327131001,73.14
218,20240327132001,46.89
219,20240327133001,43.25
220,20240327134001,34.16
221,20240327135001,23.85
222,20240327140001,19.32
223,20240327141001,19.35
224,20240327142001,24.53
225,20240327143001,34.93
226,20240327144001,28.71
227,20240327145001,28.71
228,20240327150001,14.73
229,20240327151001,10.5
230,20240327152001,13.51
231,20240327153001,13.06
232,20240327154001,17.59
233,20240327155001,16.64
234,20240327160001,14.59
235,20240327161001,11.31
236,20240327162001,11.23
237,20240327163001,10.79
238,20240327164001,9.6
239,20240327165001,6.35
240,20240329090001,24.53
241,20240329091001,21.52
242,20240329092001,16.69
243,20240329093001,15.84
244,20240329094001,11.77
245,20240329095001,11.01
246,20240329100001,9.9
247,20240329101001,11.14
248,20240329102001,9.46
249,20240329103001,10.19
250,20240329104001,7.93
251,20240329105001,8.87
252,20240329110001,11.99
253,20240329111001,8.19
254,20240329112001,7.08
255,20240329113001,10.35
256,20240329114001,10.41
257,20240329115001,19.18
258,20240329120001,42.57
259,20240329121001,45.99
260,20240329122001,34.78
261,20240329123001,18.98
262,20240329124001,15.18
263,20240329125001,16.24
264,20240329130001,20.27
265,20240329131001,15.67
266,20240329132001,12.67
267,20240329133001,13.01
268,20240329134001,25.29
269,20240329135001,22.94
270,20240329140001,21.45
271,20240329141001,21.51
272,20240329142001,31.39
273,20240329143001,42.67
274,20240329144001,32.7
275,20240329145001,28.05
276,20240329150001,29.51
277,20240329151001,27.75
278,20240329152001,14.98
279,20240329153001,11.01
280,20240329154001,7.49
281,20240329155001,6.29
282,20240329160001,4.06
283,20240329161001,2.34
284,20240329162001,2.0
285,20240329163001,1.47
286,20240329164001,1.17
287,20240329165001,0.9
288,20240428090001,243.72
289,20240428091001,395.88
290,20240428092001,126.29
291,20240428093001,34.4
292,20240428094001,18.56
293,20240428095001,22.57
294,20240428100001,28.83
295,20240428101001,86.52
296,20240428102001,360.38
297,20240428103001,394.19
298,20240428104001,645.88
299,20240428105001,415.0
300,20240428110001,1046.21
301,20240428111001,1137.73
302,20240428112001,970.88
303,20240428113001,381.5
304,20240428114001,274.4
305,20240428115001,248.13
306,20240428120001,301.05
307,20240428121001,286.47
308,20240428122001,214.22
309,20240428123001,213.96
310,20240428124001,198.37
311,20240428125001,117.0
312,20240428130001,79.84
