序號,答案
20240117090001,1713.46
20240117091001,2986.39
20240117092001,3079.0
20240117093001,2961.45
20240117094001,2952.11
20240117095001,2995.1
20240117100001,1661.55
20240117101001,1758.81
20240117102001,1991.81
20240117103001,1509.0
20240117104001,1295.37
20240117105001,1507.32
20240117110001,805.81
20240117111001,690.25
20240117112001,643.61
20240117113001,457.91
20240117114001,497.52
20240117115001,463.54
20240117120001,1506.71
20240117121001,1558.77
20240117122001,1650.88
20240117123001,1508.3
20240117124001,1352.74
20240117125001,703.37
20240117130001,1447.25
20240117131001,1360.7
20240117132001,1050.72
20240117133001,962.35
20240117134001,984.7
20240117135001,877.74
20240117140001,504.73
20240117141001,491.4
20240117142001,420.38
20240117143001,391.56
20240117144001,354.59
20240117145001,324.01
20240117150001,450.01
20240117151001,413.78
20240117152001,337.82
20240117153001,284.02
20240117154001,204.19
20240117155001,188.76
20240117160001,343.1
20240117161001,125.92
20240117162001,54.23
20240117163001,38.48
20240117164001,37.95
20240117165001,33.2
20240119090001,5385.95
20240119091001,8352.68
20240119092001,9810.53
20240119093001,8420.72
20240119094001,8911.16
20240119095001,13434.69
20240119100001,3688.51
20240119101001,4061.41
20240119102001,4746.73
20240119103001,4372.81
20240119104001,4379.06
20240119105001,4352.9
20240119110001,2734.17
20240119111001,2803.42
20240119112001,3031.56
20240119113001,3273.81
20240119114001,2080.88
20240119115001,1256.04
20240119120001,6672.77
20240119121001,6291.06
20240119122001,6260.5
20240119123001,6281.7
20240119124001,4405.39
20240119125001,3103.58
20240119130001,6037.67
20240119131001,6803.18
20240119132001,6580.32
20240119133001,6058.0
20240119134001,4313.42
20240119135001,3692.38
20240119140001,837.63
20240119141001,828.82
20240119142001,805.71
20240119143001,663.93
20240119144001,375.64
20240119145001,415.31
20240119150001,1063.29
20240119151001,1151.92
20240119152001,954.85
20240119153001,1248.62
20240119154001,875.78
20240119155001,765.44
20240119160001,102.5
20240119161001,78.2
20240119162001,59.2
20240119163001,43.01
20240119164001,34.16
20240119165001,41.17
20240224090001,1618.77
20240224091001,1887.45
20240224092001,1885.41
20240224093001,1966.89
20240224094001,2076.24
20240224095001,2244.39
20240224100001,2060.39
20240224101001,2310.32
20240224102001,2404.71
20240224103001,2276.97
20240224104001,2319.71
20240224105001,2415.72
20240224110001,2643.15
20240224111001,2829.29
20240224112001,2608.9
20240224113001,2997.02
20240224114001,2668.79
20240224115001,1556.31
20240224120001,2029.42
20240224121001,1726.19
20240224122001,1560.64
20240224123001,1352.15
20240224124001,1101.03
20240224125001,939.95
20240224130001,1609.73
20240224131001,1404.45
20240224132001,1189.17
20240224133001,1181.65
20240224134001,954.25
20240224135001,679.85
20240224140001,1297.43
20240224141001,658.86
20240224142001,535.75
20240224143001,701.55
20240224144001,515.22
20240224145001,393.93
20240224150001,211.41
20240224151001,163.49
20240224152001,121.65
20240224153001,89.47
20240224154001,76.02
20240224155001,67.79
20240224160001,36.5
20240224161001,24.53
20240224162001,14.91
20240224163001,12.2
20240224164001,9.17
20240224165001,5.87
20240226090001,2134.63
20240226091001,2204.99
20240226092001,2351.55
20240226093001,3168.51
20240226094001,4254.37
20240226095001,4471.0
20240226100001,987.71
20240226101001,926.75
20240226102001,851.66
20240226103001,825.81
20240226104001,865.49
20240226105001,858.06
20240226110001,1495.3
20240226111001,1451.14
20240226112001,1469.71
20240226113001,1582.93
20240226114001,1613.97
20240226115001,1458.96
20240226120001,434.39
20240226121001,434.26
20240226122001,420.5
20240226123001,336.41
20240226124001,294.19
20240226125001,274.45
20240226130001,222.67
20240226131001,218.01
20240226132001,263.81
20240226133001,238.27
20240226134001,221.38
20240226135001,203.45
20240226140001,240.77
20240226141001,197.92
20240226142001,202.23
20240226143001,183.59
20240226144001,202.0
20240226145001,174.55
20240226150001,63.83
20240226151001,58.84
20240226152001,52.65
20240226153001,33.61
20240226154001,30.01
20240226155001,30.64
20240226160001,48.9
20240226161001,38.39
20240226162001,33.38
20240226163001,24.73
20240226164001,14.31
20240226165001,9.2
20240327090001,952.05
20240327091001,842.94
20240327092001,596.95
20240327093001,485.57
20240327094001,542.99
20240327095001,439.11
20240327100001,2945.43
20240327101001,3664.58
20240327102001,3662.95
20240327103001,2612.98
20240327104001,4172.18
20240327105001,7794.69
20240327110001,5893.97
20240327111001,5285.5
20240327112001,2487.55
20240327113001,1534.15
20240327114001,1484.76
20240327115001,1555.16
20240327120001,5820.39
20240327121001,2578.56
20240327122001,940.8
20240327123001,331.99
20240327124001,149.75
20240327125001,100.97
20240327130001,2639.01
20240327131001,4386.55
20240327132001,1656.04
20240327133001,527.42
20240327134001,410.15
20240327135001,360.04
20240327140001,249.95
20240327141001,264.27
20240327142001,240.45
20240327143001,184.91
20240327144001,193.72
20240327145001,179.16
20240327150001,64.69
20240327151001,75.99
20240327152001,74.87
20240327153001,54.58
20240327154001,46.21
20240327155001,41.27
20240327160001,32.53
20240327161001,29.76
20240327162001,19.65
20240327163001,19.48
20240327164001,18.01
20240327165001,13.18
20240329090001,806.57
20240329091001,961.43
20240329092001,711.3
20240329093001,638.25
20240329094001,1138.94
20240329095001,1310.3
20240329100001,156.66
20240329101001,105.13
20240329102001,109.78
20240329103001,174.04
20240329104001,307.18
20240329105001,401.11
20240329110001,344.29
20240329111001,322.15
20240329112001,259.6
20240329113001,311.2
20240329114001,380.58
20240329115001,565.56
20240329120001,216.44
20240329121001,192.86
20240329122001,212.11
20240329123001,294.25
20240329124001,353.66
20240329125001,691.77
20240329130001,427.53
20240329131001,384.93
20240329132001,382.58
20240329133001,337.45
20240329134001,281.36
20240329135001,248.26
20240329140001,135.63
20240329141001,125.8
20240329142001,174.28
20240329143001,197.84
20240329144001,144.47
20240329145001,141.34
20240329150001,183.65
20240329151001,178.56
20240329152001,181.83
20240329153001,134.01
20240329154001,95.92
20240329155001,86.39
20240329160001,59.51
20240329161001,44.87
20240329162001,49.84
20240329163001,68.51
20240329164001,51.88
20240329165001,40.3
20240428090001,723.35
20240428091001,642.18
20240428092001,663.88
20240428093001,393.57
20240428094001,639.29
20240428095001,817.53
20240428100001,999.36
20240428101001,925.09
20240428102001,921.58
20240428103001,924.73
20240428104001,1679.25
20240428105001,1754.75
20240428110001,4817.63
20240428111001,6097.71
20240428112001,5501.17
20240428113001,5811.36
20240428114001,5769.16
20240428115001,4783.65
20240428120001,7061.7
20240428121001,8798.61
20240428122001,8271.05
20240428123001,8041.13
20240428124001,8076.16
20240428125001,5823.25
20240428130001,7664.53
20240428131001,6871.02
20240428132001,5577.82
20240428133001,4760.78
20240428134001,4444.09
20240428135001,3449.5
20240428140001,63.65
20240428141001,67.14
20240428142001,62.33
20240428143001,61.81
20240428144001,68.77
20240428145001,70.86
20240428150001,436.23
20240428151001,395.17
20240428152001,205.88
20240428153001,157.2
20240428154001,162.31
20240428155001,208.9
20240428160001,200.78
20240428161001,123.58
