LocationCode,Month,Day,Hour,10min_interval,Sunlight(Lux),Sunshine,TotalSolar,UV,HPA,position,direction,height,答案
1,1,17,9,0,35996.88425746812,0.0,0.62,1,1022.0,1.0,181.0,54.8,2734.74
1,1,17,9,1,37504.55439926799,0.0,0.62,1,1022.0,1.0,181.0,54.8,3005.01
1,1,17,9,2,37987.77852877973,0.0,0.62,1,1022.0,1.0,181.0,54.8,3034.22
1,1,17,9,3,38469.96597493776,0.0,0.62,1,1022.0,1.0,181.0,54.8,3056.0
1,1,17,9,4,40116.76158643806,0.0,0.62,1,1022.0,1.0,181.0,54.8,3438.09
1,1,17,9,5,41952.45809154092,0.0,0.62,1,1022.0,1.0,181.0,54.8,3536.35
1,1,17,10,0,39665.69337989623,0.0,0.87,2,1022.3,1.0,181.0,54.8,3188.13
1,1,17,10,1,40502.54224468649,0.0,0.87,2,1022.3,1.0,181.0,54.8,3458.49
1,1,17,10,2,40855.89755475846,0.0,0.87,2,1022.3,1.0,181.0,54.8,3501.2
1,1,17,10,3,36641.29360610622,0.0,0.87,2,1022.3,1.0,181.0,54.8,2752.27
1,1,17,10,4,35063.71288305956,0.0,0.87,2,1022.3,1.0,181.0,54.8,2529.56
1,1,17,10,5,36919.495590770515,0.0,0.87,2,1022.3,1.0,181.0,54.8,2795.23
1,1,17,11,0,28761.758284130552,0.0,0.66,2,1021.6,1.0,181.0,54.8,1723.04
1,1,17,11,1,28612.70111836935,0.0,0.66,2,1021.6,1.0,181.0,54.8,1725.37
1,1,17,11,2,28241.922629451758,0.0,0.66,2,1021.6,1.0,181.0,54.8,1680.18
1,1,17,11,3,28586.65580209728,0.0,0.66,2,1021.6,1.0,181.0,54.8,1726.01
1,1,17,11,4,28578.650843434156,0.0,0.66,2,1021.6,1.0,181.0,54.8,1724.47
1,1,17,11,5,20670.140488990248,0.0,0.66,2,1021.6,1.0,181.0,54.8,965.23
1,1,17,12,0,28396.58860390323,0.0,1.27,4,1020.5,1.0,181.0,54.8,1731.31
1,1,17,12,1,28049.431729265274,0.0,1.27,4,1020.5,1.0,181.0,54.8,1626.95
1,1,17,12,2,27362.360315859245,0.0,1.27,4,1020.5,1.0,181.0,54.8,1632.03
1,1,17,12,3,31538.633417448928,0.0,1.27,4,1020.5,1.0,181.0,54.8,2125.01
1,1,17,12,4,29693.290207990434,0.0,1.27,4,1020.5,1.0,181.0,54.8,1831.98
1,1,17,12,5,28649.408298840197,0.0,1.27,4,1020.5,1.0,181.0,54.8,1741.38
1,1,17,13,0,34692.1265528825,0.0,1.17,3,1019.2,1.0,181.0,54.8,2544.41
1,1,17,13,1,33085.3167661468,0.0,1.17,3,1019.2,1.0,181.0,54.8,2337.62
1,1,17,13,2,31656.5793961783,0.0,1.17,3,1019.2,1.0,181.0,54.8,2112.8
1,1,17,13,3,31235.296884127172,0.0,1.17,3,1019.2,1.0,181.0,54.8,2009.52
1,1,17,13,4,28993.84895368337,0.0,1.17,3,1019.2,1.0,181.0,54.8,1699.82
1,1,17,13,5,26736.98850312503,0.0,1.17,3,1019.2,1.0,181.0,54.8,1386.51
1,1,17,14,0,30858.134189127082,0.0,1.22,3,1018.4,1.0,181.0,54.8,2004.04
1,1,17,14,1,27905.2801557307,0.0,1.22,3,1018.4,1.0,181.0,54.8,1648.15
1,1,17,14,2,27353.073801039896,0.0,1.22,3,1018.4,1.0,181.0,54.8,1653.72
1,1,17,14,3,27383.350506169565,0.0,1.22,3,1018.4,1.0,181.0,54.8,1649.93
1,1,17,14,4,25160.14012314266,0.0,1.22,3,1018.4,1.0,181.0,54.8,1347.05
1,1,17,14,5,22764.588597554557,0.0,1.22,3,1018.4,1.0,181.0,54.8,1118.96
1,1,17,15,0,22833.065284059747,0.4,1.55,3,1017.9,1.0,181.0,54.8,1175.7
1,1,17,15,1,20326.723155790205,0.4,1.55,3,1017.9,1.0,181.0,54.8,934.3
1,1,17,15,2,19092.73457022622,0.4,1.55,3,1017.9,1.0,181.0,54.8,817.99
1,1,17,15,3,17280.410816908472,0.4,1.55,3,1017.9,1.0,181.0,54.8,667.73
1,1,17,15,4,13830.805093681238,0.4,1.55,3,1017.9,1.0,181.0,54.8,446.55
1,1,17,15,5,12070.188893572878,0.4,1.55,3,1017.9,1.0,181.0,54.8,325.2
1,1,17,16,0,10801.15114620865,0.2,0.6,1,1018.0,1.0,181.0,54.8,282.35
1,1,17,16,1,8963.860209558165,0.2,0.6,1,1018.0,1.0,181.0,54.8,180.24
1,1,17,16,2,7609.827878327094,0.2,0.6,1,1018.0,1.0,181.0,54.8,129.49
1,1,17,16,3,6913.299614339455,0.2,0.6,1,1018.0,1.0,181.0,54.8,110.94
1,1,17,16,4,4632.1848508693165,0.2,0.6,1,1018.0,1.0,181.0,54.8,52.04
1,1,17,16,5,4059.1615994785107,0.2,0.6,1,1018.0,1.0,181.0,54.8,39.34
1,1,19,9,0,34503.465502374915,0.0,0.77,1,1016.9,1.0,181.0,54.8,2623.95
1,1,19,9,1,35438.783419702064,0.0,0.77,1,1016.9,1.0,181.0,54.8,2863.33
1,1,19,9,2,38780.14487402276,0.0,0.77,1,1016.9,1.0,181.0,54.8,3237.61
1,1,19,9,3,45221.36269034271,0.0,0.77,1,1016.9,1.0,181.0,54.8,4344.66
1,1,19,9,4,48589.74730886503,0.0,0.77,1,1016.9,1.0,181.0,54.8,4990.82
1,1,19,9,5,55163.30937900557,0.0,0.77,1,1016.9,1.0,181.0,54.8,6496.35
1,1,19,10,0,62380.45912887646,0.0,1.19,2,1016.7,1.0,181.0,54.8,8542.16
