序號,答案
20240117090001,131.49
20240117091001,318.76
20240117092001,304.74
20240117093001,281.57
20240117094001,144.65
20240117095001,80.09
20240117100001,136.93
20240117101001,163.71
20240117102001,216.04
20240117103001,225.53
20240117104001,168.83
20240117105001,89.5
20240117110001,48.53
20240117111001,33.08
20240117112001,20.3
20240117113001,27.4
20240117114001,47.15
20240117115001,56.67
20240117120001,85.95
20240117121001,73.09
20240117122001,110.19
20240117123001,265.46
20240117124001,300.97
20240117125001,230.96
20240117130001,82.87
20240117131001,125.53
20240117132001,148.58
20240117133001,206.98
20240117134001,176.58
20240117135001,131.58
20240117140001,166.38
20240117141001,243.03
20240117142001,168.57
20240117143001,87.01
20240117144001,86.89
20240117145001,73.43
20240117150001,338.08
20240117151001,145.59
20240117152001,51.23
20240117153001,32.74
20240117154001,26.69
20240117155001,62.43
20240117160001,157.48
20240117161001,34.5
20240117162001,29.42
20240117163001,30.55
20240117164001,5.82
20240117165001,4.14
20240119090001,229.51
20240119091001,394.2
20240119092001,470.97
20240119093001,410.1
20240119094001,481.66
20240119095001,481.37
20240119100001,450.26
20240119101001,458.47
20240119102001,598.14
20240119103001,1298.86
20240119104001,1191.74
20240119105001,882.98
20240119110001,1326.19
20240119111001,1663.99
20240119112001,1536.84
20240119113001,1528.12
20240119114001,1433.3
20240119115001,1597.8
20240119120001,1148.52
20240119121001,886.55
20240119122001,992.79
20240119123001,920.79
20240119124001,853.95
20240119125001,1394.31
20240119130001,887.92
20240119131001,595.48
20240119132001,1106.66
20240119133001,477.7
20240119134001,477.79
20240119135001,465.96
20240119140001,919.22
20240119141001,450.23
20240119142001,770.9
20240119143001,351.03
20240119144001,699.48
20240119145001,329.09
20240119150001,237.37
20240119151001,135.08
20240119152001,107.8
20240119153001,75.22
20240119154001,73.96
20240119155001,60.84
20240119160001,81.76
20240119161001,55.51
20240119162001,21.51
20240119163001,14.04
20240119164001,13.64
20240119165001,7.31
20240224090001,97.6
20240224091001,91.16
20240224092001,81.7
20240224093001,49.86
20240224094001,37.46
20240224095001,48.0
20240224100001,64.52
20240224101001,90.82
20240224102001,66.8
20240224103001,39.36
20240224104001,52.67
20240224105001,56.93
20240224110001,73.72
20240224111001,73.56
20240224112001,78.49
20240224113001,85.32
20240224114001,74.27
20240224115001,67.35
20240224120001,50.66
20240224121001,39.71
20240224122001,35.31
20240224123001,42.23
20240224124001,39.97
20240224125001,49.75
20240224130001,34.69
20240224131001,28.42
20240224132001,28.42
20240224133001,42.82
20240224134001,48.62
20240224135001,49.8
20240224140001,30.75
20240224141001,28.77
20240224142001,13.49
20240224143001,10.84
20240224144001,9.66
20240224145001,8.95
20240224150001,11.79
20240224151001,11.27
20240224152001,6.84
20240224153001,4.83
20240224154001,3.96
20240224155001,3.76
20240224160001,2.71
20240224161001,1.99
20240224162001,0.91
20240224163001,2.56
20240224164001,2.2
20240224165001,2.11
20240226090001,46.78
20240226091001,65.55
20240226092001,65.13
20240226093001,64.28
20240226094001,67.24
20240226095001,80.64
20240226100001,107.2
20240226101001,146.14
20240226102001,145.76
20240226103001,175.42
20240226104001,174.28
20240226105001,219.01
20240226110001,159.51
20240226111001,178.95
20240226112001,160.07
20240226113001,106.11
20240226114001,94.57
20240226115001,85.17
20240226120001,232.58
20240226121001,205.62
20240226122001,232.17
20240226123001,313.93
20240226124001,352.83
20240226125001,323.58
20240226130001,27.41
20240226131001,34.18
20240226132001,35.43
20240226133001,30.08
20240226134001,27.4
20240226135001,24.08
20240226140001,40.05
20240226141001,28.92
20240226142001,26.36
20240226143001,22.57
20240226144001,24.71
20240226145001,22.57
20240226150001,10.34
20240226151001,10.34
20240226152001,9.0
20240226153001,6.43
20240226154001,6.41
20240226155001,6.41
20240226160001,6.61
20240226161001,3.94
20240226162001,3.94
20240226163001,1.98
20240226164001,1.42
20240226165001,1.14
20240327090001,106.06
20240327091001,105.85
20240327092001,114.34
20240327093001,194.74
20240327094001,327.46
20240327095001,434.47
20240327100001,467.11
20240327101001,608.32
20240327102001,689.3
20240327103001,606.27
20240327104001,1063.67
20240327105001,1001.2
20240327110001,731.28
20240327111001,731.28
20240327112001,516.69
20240327113001,416.05
20240327114001,297.01
20240327115001,234.7
20240327120001,277.76
20240327121001,221.62
20240327122001,205.12
20240327123001,202.36
20240327124001,191.57
20240327125001,160.14
20240327130001,189.77
20240327131001,113.01
20240327132001,84.15
20240327133001,61.24
20240327134001,37.61
20240327135001,25.29
20240327140001,15.62
20240327141001,15.61
20240327142001,18.05
20240327143001,28.96
20240327144001,22.87
20240327145001,25.17
20240327150001,11.19
20240327151001,8.04
20240327152001,10.8
20240327153001,10.93
20240327154001,14.53
20240327155001,12.69
20240327160001,10.68
20240327161001,8.34
20240327162001,9.05
20240327163001,9.04
20240327164001,6.61
20240327165001,3.83
20240329090001,34.28
20240329091001,21.53
20240329092001,17.26
20240329093001,14.49
20240329094001,11.02
20240329095001,13.68
20240329100001,10.64
20240329101001,11.23
20240329102001,9.63
20240329103001,12.32
20240329104001,9.92
20240329105001,13.73
20240329110001,13.62
20240329111001,8.25
20240329112001,7.78
20240329113001,11.45
20240329114001,13.54
20240329115001,25.56
20240329120001,31.49
20240329121001,39.8
20240329122001,34.63
20240329123001,15.49
20240329124001,15.17
20240329125001,12.73
20240329130001,19.53
20240329131001,16.4
20240329132001,13.31
20240329133001,12.03
20240329134001,28.45
20240329135001,23.8
20240329140001,23.96
20240329141001,20.99
20240329142001,28.8
20240329143001,35.66
20240329144001,34.88
20240329145001,23.94
20240329150001,30.69
20240329151001,28.43
20240329152001,14.55
20240329153001,11.94
20240329154001,7.91
20240329155001,5.64
20240329160001,4.39
20240329161001,2.59
20240329162001,2.03
20240329163001,1.77
20240329164001,1.24
20240329165001,0.85
20240428090001,203.74
20240428091001,412.6
20240428092001,102.11
20240428093001,32.34
20240428094001,11.9
20240428095001,13.65
20240428100001,30.87
20240428101001,101.69
20240428102001,291.42
20240428103001,488.65
20240428104001,1206.71
20240428105001,761.97
20240428110001,1262.38
20240428111001,1439.82
20240428112001,1432.97
20240428113001,515.65
20240428114001,269.93
20240428115001,270.94
20240428120001,304.69
20240428121001,276.99
20240428122001,171.24
20240428123001,218.45
20240428124001,182.63
20240428125001,94.59
20240428130001,71.25
20240428131001,62.71
20240428132001,62.25
20240428133001,38.71
20240428134001,35.22
20240428135001,35.34
20240428140001,36.93
20240428141001,34.41
20240428142001,35.08
20240428143001,73.12
20240428144001,157.45
20240428145001,148.3
20240428150001,165.09
20240428151001,274.03
20240428152001,154.13
20240428153001,70.34
20240428154001,58.14
20240428155001,84.93
20240428160001,67.13
20240428161001,38.6
20240428162001,19.63
20240428163001,17.03
20240428164001,17.02
20240428165001,15.68
20240430090001,797.74
20240430091001,836.65
20240430092001,872.72
20240430093001,1016.17
20240430094001,1149.67
20240430095001,1165.33
20240430100001,1285.06
20240430101001,939.07
20240430102001,1296.74
20240430103001,1364.16
20240430104001,1356.98
20240430105001,1326.96
