序號,答案
20240117090001,3701.52
20240117091001,4644.05
20240117092001,4576.66
20240117093001,4661.26
20240117094001,4395.32
20240117095001,4781.29
20240117100001,1485.41
20240117101001,2076.05
20240117102001,2864.66
20240117103001,2326.83
20240117104001,1707.01
20240117105001,1768.24
20240117110001,713.38
20240117111001,554.79
20240117112001,402.42
20240117113001,463.79
20240117114001,396.9
20240117115001,462.73
20240117120001,968.12
20240117121001,1076.17
20240117122001,1224.43
20240117123001,1634.82
20240117124001,1792.59
20240117125001,1877.99
20240117130001,723.02
20240117131001,857.25
20240117132001,994.14
20240117133001,1040.14
20240117134001,1150.56
20240117135001,1426.27
20240117140001,1491.32
20240117141001,2781.18
20240117142001,1290.68
20240117143001,729.76
20240117144001,1332.68
20240117145001,884.49
20240117150001,3307.11
20240117151001,820.6
20240117152001,544.07
20240117153001,369.42
20240117154001,348.58
20240117155001,1372.97
20240117160001,644.58
20240117161001,136.62
20240117162001,135.57
20240117163001,169.12
20240117164001,38.51
20240117165001,35.74
20240119090001,2840.4
20240119091001,3005.23
20240119092001,3308.04
20240119093001,2966.44
20240119094001,4005.87
20240119095001,4662.31
20240119100001,3645.39
20240119101001,4597.11
20240119102001,4941.19
20240119103001,8853.47
20240119104001,11065.12
20240119105001,10696.84
20240119110001,10629.72
20240119111001,12499.04
20240119112001,11752.08
20240119113001,11343.25
20240119114001,9656.77
20240119115001,12150.75
20240119120001,13935.06
20240119121001,8260.31
20240119122001,8268.66
20240119123001,7655.4
20240119124001,7912.59
20240119125001,11430.48
20240119130001,10444.39
20240119131001,7932.94
20240119132001,12061.12
20240119133001,4854.29
20240119134001,5319.86
20240119135001,3276.35
20240119140001,10476.37
20240119141001,4943.37
20240119142001,6014.51
20240119143001,2876.3
20240119144001,6078.44
20240119145001,2507.25
20240119150001,1489.71
20240119151001,1058.4
20240119152001,876.72
20240119153001,672.14
20240119154001,639.52
20240119155001,621.01
20240119160001,629.31
20240119161001,592.4
20240119162001,281.38
20240119163001,141.71
20240119164001,151.65
20240119165001,77.62
20240224090001,744.87
20240224091001,793.62
20240224092001,665.76
20240224093001,361.15
20240224094001,285.8
20240224095001,398.28
20240224100001,495.32
20240224101001,649.54
20240224102001,564.66
20240224103001,422.13
20240224104001,486.19
20240224105001,566.22
20240224110001,628.24
20240224111001,748.42
20240224112001,802.65
20240224113001,1002.02
20240224114001,858.22
20240224115001,752.87
20240224120001,402.22
20240224121001,394.17
20240224122001,326.13
20240224123001,330.04
20240224124001,313.12
20240224125001,364.57
20240224130001,252.79
20240224131001,225.44
20240224132001,247.19
20240224133001,351.42
20240224134001,411.66
20240224135001,337.58
20240224140001,287.33
20240224141001,266.69
20240224142001,139.45
20240224143001,101.16
