序號,答案
20240117090001,247.18
20240117091001,304.08
20240117092001,256.81
20240117093001,294.81
20240117094001,254.97
20240117095001,164.54
20240117100001,55.52
20240117101001,81.82
20240117102001,91.29
20240117103001,98.43
20240117104001,56.12
20240117105001,60.67
20240117110001,56.32
20240117111001,42.37
20240117112001,18.63
20240117113001,18.36
20240117114001,26.63
20240117115001,24.52
20240117120001,51.09
20240117121001,54.96
20240117122001,59.4
20240117123001,134.4
20240117124001,246.17
20240117125001,137.68
20240117130001,81.65
20240117131001,70.82
20240117132001,71.17
20240117133001,98.69
20240117134001,102.21
20240117135001,119.32
20240117140001,148.97
20240117141001,125.3
20240117142001,87.78
20240117143001,65.23
20240117144001,82.41
20240117145001,112.79
20240117150001,256.36
20240117151001,154.88
20240117152001,46.96
20240117153001,36.22
20240117154001,30.41
20240117155001,119.55
20240117160001,163.64
20240117161001,28.42
20240117162001,22.5
20240117163001,23.22
20240117164001,7.31
20240117165001,5.66
20240119090001,385.49
20240119091001,483.5
20240119092001,550.99
20240119093001,557.24
20240119094001,615.37
20240119095001,662.76
20240119100001,518.78
20240119101001,534.07
20240119102001,691.61
20240119103001,1237.05
20240119104001,1342.94
20240119105001,1308.77
20240119110001,1279.74
20240119111001,1650.5
20240119112001,1453.74
20240119113001,1453.27
20240119114001,1294.45
20240119115001,1510.49
20240119120001,1306.72
20240119121001,848.05
20240119122001,797.77
20240119123001,682.82
20240119124001,645.21
20240119125001,1189.79
20240119130001,1343.27
20240119131001,893.13
20240119132001,1221.9
20240119133001,918.7
20240119134001,660.55
20240119135001,599.64
20240119140001,1256.77
20240119141001,938.6
20240119142001,1195.31
20240119143001,464.64
20240119144001,1059.47
20240119145001,312.55
20240119150001,168.17
20240119151001,120.15
20240119152001,100.97
20240119153001,85.93
20240119154001,99.22
20240119155001,85.17
20240119160001,81.89
20240119161001,66.21
20240119162001,33.05
20240119163001,23.33
20240119164001,23.34
20240119165001,7.28
20240224090001,84.34
20240224091001,106.14
20240224092001,69.11
20240224093001,45.71
20240224094001,38.05
20240224095001,50.57
20240224100001,61.37
20240224101001,68.08
20240224102001,56.62
20240224103001,33.92
20240224104001,44.48
20240224105001,59.41
20240224110001,59.73
20240224111001,60.17
20240224112001,60.56
20240224113001,63.21
20240224114001,63.12
20240224115001,59.29
20240224120001,42.92
20240224121001,39.98
20240224122001,29.08
20240224123001,32.42
20240224124001,34.49
20240224125001,42.1
20240224130001,25.41
20240224131001,22.66
20240224132001,24.38
20240224133001,30.31
20240224134001,36.18
20240224135001,30.41
20240224140001,25.23
20240224141001,23.5
20240224142001,13.02
20240224143001,9.56
20240224144001,9.12
20240224145001,6.91
20240224150001,12.43
20240224151001,10.52
20240224152001,5.96
20240224153001,3.5
20240224154001,3.38
20240224155001,2.85
20240224160001,2.34
20240224161001,1.44
20240224162001,0.8
20240224163001,1.24
20240224164001,0.97
20240224165001,1.04
20240226090001,181.88
20240226091001,248.29
20240226092001,193.29
20240226093001,170.64
20240226094001,236.38
20240226095001,242.06
20240226100001,129.42
20240226101001,158.01
20240226102001,145.68
20240226103001,186.23
20240226104001,200.57
20240226105001,194.89
20240226110001,103.11
20240226111001,107.63
20240226112001,98.63
20240226113001,73.01
20240226114001,60.43
20240226115001,50.23
20240226120001,33.05
20240226121001,25.23
20240226122001,26.8
20240226123001,35.71
20240226124001,36.74
20240226125001,28.36
20240226130001,29.51
20240226131001,36.26
20240226132001,38.32
20240226133001,41.47
20240226134001,38.09
20240226135001,31.31
20240226140001,26.13
20240226141001,23.61
20240226142001,22.51
20240226143001,22.39
20240226144001,22.38
20240226145001,17.64
20240226150001,16.34
20240226151001,16.04
20240226152001,10.96
20240226153001,8.58
20240226154001,9.59
20240226155001,8.0
20240226160001,11.85
20240226161001,5.94
20240226162001,4.08
20240226163001,3.12
20240226164001,2.82
20240226165001,2.0
20240327090001,147.56
20240327091001,148.65
20240327092001,156.08
20240327093001,219.09
20240327094001,318.84
20240327095001,448.51
20240327100001,482.39
20240327101001,695.61
20240327102001,800.76
20240327103001,609.08
20240327104001,987.2
20240327105001,879.6
20240327110001,781.72
20240327111001,780.73
20240327112001,552.83
20240327113001,484.18
20240327114001,365.64
20240327115001,300.76
20240327120001,225.22
20240327121001,225.48
20240327122001,278.19
20240327123001,237.97
20240327124001,222.1
20240327125001,205.41
20240327130001,215.09
20240327131001,123.43
20240327132001,73.17
20240327133001,56.01
20240327134001,33.91
20240327135001,27.19
20240327140001,13.64
20240327141001,14.43
20240327142001,19.83
20240327143001,32.85
20240327144001,23.68
20240327145001,23.68
20240327150001,11.34
20240327151001,8.58
