序號,答案
20240117090001,2734.74
20240117091001,3005.01
20240117092001,3034.22
20240117093001,3056.0
20240117094001,3438.09
20240117095001,3536.35
20240117100001,3188.13
20240117101001,3458.49
20240117102001,3501.2
20240117103001,2752.27
20240117104001,2529.56
20240117105001,2795.23
20240117110001,1723.04
20240117111001,1725.37
20240117112001,1680.18
20240117113001,1726.01
20240117114001,1724.47
20240117115001,965.23
20240117120001,1731.31
20240117121001,1626.95
20240117122001,1632.03
20240117123001,2125.01
20240117124001,1831.98
20240117125001,1741.38
20240117130001,2544.41
20240117131001,2337.62
20240117132001,2112.8
20240117133001,2009.52
20240117134001,1699.82
20240117135001,1386.51
20240117140001,2004.04
20240117141001,1648.15
20240117142001,1653.72
20240117143001,1649.93
20240117144001,1347.05
20240117145001,1118.96
20240117150001,1175.7
20240117151001,934.3
20240117152001,817.99
20240117153001,667.73
20240117154001,446.55
20240117155001,325.2
20240117160001,282.35
20240117161001,180.24
20240117162001,129.49
20240117163001,110.94
20240117164001,52.04
20240117165001,39.34
20240119090001,2623.95
20240119091001,2863.33
20240119092001,3237.61
20240119093001,4344.66
20240119094001,4990.82
20240119095001,6496.35
20240119100001,8542.16
20240119101001,8169.95
20240119102001,8137.91
20240119103001,9144.88
20240119104001,10744.48
20240119105001,10280.02
20240119110001,10821.69
20240119111001,10712.36
20240119112001,10731.54
20240119113001,10714.79
20240119114001,9738.15
20240119115001,8818.35
20240119120001,11906.76
20240119121001,11966.44
20240119122001,10370.86
20240119123001,9140.39
20240119124001,8729.83
20240119125001,7946.27
20240119130001,14718.69
20240119131001,15254.51
20240119132001,14957.71
20240119133001,13643.6
20240119134001,9962.43
20240119135001,7724.86
20240119140001,5882.59
20240119141001,5020.76
20240119142001,4408.07
20240119143001,4269.26
20240119144001,3578.68
20240119145001,2774.43
20240119150001,1498.42
20240119151001,1408.86
20240119152001,1348.02
20240119153001,1345.07
20240119154001,1231.77
20240119155001,1160.21
20240119160001,734.0
20240119161001,480.97
20240119162001,299.99
20240119163001,242.65
20240119164001,136.7
20240119165001,84.61
20240224090001,566.11
20240224091001,594.81
20240224092001,566.72
20240224093001,596.42
20240224094001,626.58
20240224095001,793.85
20240224100001,794.14
20240224101001,819.63
20240224102001,772.18
20240224103001,723.63
20240224104001,681.13
20240224105001,552.91
20240224110001,1063.6
20240224111001,1068.66
20240224112001,993.58
20240224113001,936.61
20240224114001,858.21
20240224115001,712.33
20240224120001,510.67
20240224121001,510.67
20240224122001,477.03
20240224123001,401.7
20240224124001,355.76
20240224125001,355.76
20240224130001,489.65
20240224131001,454.13
20240224132001,484.29
20240224133001,456.17
20240224134001,425.66
20240224135001,306.83
20240224140001,280.78
20240224141001,216.01
20240224142001,197.87
20240224143001,149.55
20240224144001,125.42
20240224145001,112.04
20240224150001,132.39
20240224151001,117.49
20240224152001,71.57
20240224153001,48.31
20240224154001,50.7
20240224155001,48.51
20240224160001,25.27
20240224161001,21.11
20240224162001,13.85
20240224163001,10.04
20240224164001,6.82
20240224165001,6.17
20240226090001,551.82
20240226091001,647.06
20240226092001,673.44
20240226093001,736.33
20240226094001,779.78
20240226095001,989.1
20240226100001,1086.72
20240226101001,1002.93
20240226102001,1038.25
20240226103001,1091.12
20240226104001,1113.17
20240226105001,1247.74
20240226110001,1325.03
20240226111001,1117.35
20240226112001,987.85
20240226113001,713.44
20240226114001,705.27
20240226115001,667.63
20240226120001,649.96
20240226121001,646.61
20240226122001,614.29
20240226123001,460.37
20240226124001,415.0
20240226125001,413.03
20240226130001,339.59
20240226131001,353.73
20240226132001,354.11
20240226133001,341.16
20240226134001,355.44
20240226135001,320.95
20240226140001,186.21
20240226141001,159.99
20240226142001,210.17
20240226143001,132.55
20240226144001,143.76
20240226145001,123.81
20240226150001,134.22
20240226151001,129.41
20240226152001,118.79
20240226153001,97.48
20240226154001,78.26
20240226155001,67.12
20240226160001,66.85
20240226161001,56.42
20240226162001,40.21
20240226163001,22.34
20240226164001,15.78
20240226165001,11.65
20240327090001,1286.65
20240327091001,1463.57
20240327092001,1555.45
20240327093001,1775.99
20240327094001,1922.54
20240327095001,2524.5
20240327100001,5848.02
20240327101001,7141.99
20240327102001,7642.24
20240327103001,7068.19
20240327104001,7986.13
20240327105001,9096.71
20240327110001,6585.44
20240327111001,5956.37
20240327112001,5590.0
20240327113001,4403.25
20240327114001,3856.81
20240327115001,2803.41
20240327120001,3216.57
20240327121001,2189.18
20240327122001,1675.51
20240327123001,1278.62
20240327124001,1131.47
20240327125001,1143.24
20240327130001,1155.41
20240327131001,941.02
20240327132001,632.47
20240327133001,358.55
20240327134001,269.78
20240327135001,297.35
20240327140001,262.99
20240327141001,212.78
20240327142001,215.34
20240327143001,182.72
20240327144001,198.82
20240327145001,198.04
20240327150001,128.51
20240327151001,127.78
20240327152001,153.95
20240327153001,120.62
20240327154001,118.16
20240327155001,101.3
20240327160001,93.86
20240327161001,86.48
20240327162001,80.44
20240327163001,69.38
20240327164001,47.86
20240327165001,39.79
20240329090001,155.25
20240329091001,150.8
20240329092001,135.07
20240329093001,126.09
